task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
even-palindrome,comparison_structure,loss,none,6600,0.602943118873906,0.0316722278240522,0.5496968095656485,0.6539584047719836,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,6800,0.5851463422986368,0.03903733354218617,0.5431583738327026,0.6602472097519785,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,7000,0.5888641775440191,0.028031578883941716,0.5461205343529582,0.6234763579629362,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,7200,0.6161260627258646,0.03130069347348743,0.5713695625262335,0.6598825247818604,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,7400,0.6009250639301414,0.023506304931236437,0.5565046920301393,0.6298459723265841,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,7600,0.5942323595149598,0.03267710091871558,0.5464255949063227,0.6448579302895814,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,7800,0.5955804825997134,0.03254121427268906,0.5548300544172525,0.6383121616020798,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,8000,0.5950594005749251,0.028501980123793763,0.5454812121926806,0.6294892388582229,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,8200,0.5873280119414751,0.016618547324942938,0.5653299034992233,0.6109980290057138,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,8400,0.5857066079921788,0.036989012113209034,0.5323160460824147,0.6347022143192589,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,8600,0.5946842844660083,0.028082576799694253,0.567094176618848,0.6515883662272245,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,8800,0.5764650297844006,0.03939799814575633,0.5112924408889375,0.6228587609133683,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,9000,0.5533232280844823,0.012396234795484308,0.5289592124533374,0.5702472593146376,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,9200,0.5676525582347919,0.02778115911447195,0.5341754298156594,0.622877560025081,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,9400,0.573577312923735,0.02060133466185891,0.5455995282507502,0.6131201126473025,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,9600,0.5662136888187767,0.02217374688083808,0.5314069197373464,0.599711621243041,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,9800,0.585406944839051,0.031852312920861846,0.528043687895406,0.6320401699654759,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,10000,0.5565886503122359,0.022681168357782947,0.5170982097391971,0.5885112604987808,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,10200,0.5765159926800697,0.06910404001744265,0.5101907168840989,0.7199039211589843,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,10400,0.5492481086678163,0.022125018984343957,0.5182656053311075,0.5812155809043906,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,10600,0.5403358363770046,0.03616245387494904,0.5002686952170916,0.600223012646893,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,10800,0.5523272450584045,0.03218907950403591,0.5211444756295532,0.6167269638343714,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,11000,0.5483152362445253,0.032049920400368255,0.5155194415571168,0.5956532685714774,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,11200,0.5685549100623272,0.03504378357093231,0.4981284269364551,0.611028084079735,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,11400,0.5666554967057892,0.06850887122383971,0.5155498542124406,0.7159506265399977,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,11600,0.5618337858802018,0.044510143032890484,0.5053039727942087,0.6347459701588377,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,11800,0.5508749167784117,0.0312903483498541,0.4902341560134664,0.5802287739072927,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,12000,0.5501938412696957,0.03743161575624352,0.4962989475391805,0.6042824725760148,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,12200,0.5663361488721178,0.030804410313122595,0.5102538003283553,0.6079534553852863,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,12400,0.5437773611179243,0.04612207098741209,0.4836233491927851,0.6004908649658318,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,12600,0.5556411663040247,0.038321540270767715,0.5125108751474181,0.6264301898039412,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,12800,0.5554264507234621,0.04096993964877875,0.49656909917568554,0.6311613690725062,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,13000,0.5472200158977648,0.0518772604163593,0.4815914929332212,0.6272428251814562,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,13200,0.5240743430287693,0.043552201834541324,0.4785421271342784,0.5965525737602729,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,13400,0.5341290199332677,0.049185463172905695,0.4708915090834489,0.6165331899235025,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,13600,0.5332783557384392,0.030841052792547823,0.47457718932302667,0.5623061144870007,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,13800,0.5353185757963851,0.033353500288712624,0.49354049921254045,0.5834442576789297,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,14000,0.5364596655844313,0.03866106153829814,0.4880786196741974,0.6115624317160109,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,14200,0.5355159645055877,0.048146278382231414,0.47883930428070015,0.6219166381149261,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,14400,0.5578053325117678,0.05206875341139147,0.49663880588370374,0.6577695459185634,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,14600,0.5211792799038206,0.04669007184288476,0.4507972760807024,0.5851990181172733,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,14800,0.5165273205895937,0.022282969984137476,0.47545082984666803,0.550003873759997,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,15000,0.5489147207608767,0.09384726024938514,0.43079237107071094,0.7413590318203205,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,15200,0.5259798749184604,0.06617319025397468,0.4425233800528804,0.6266712052444927,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,15400,0.5435072984387687,0.05356029716891046,0.4405974330753088,0.6117607877677074,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,15600,0.5172325174382907,0.05094074850968612,0.4402864162164042,0.6019938685715897,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,15800,0.5064317740769547,0.03168155714349806,0.44640506370691585,0.547197894572746,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,16000,0.5340686222891964,0.0399383263421216,0.4674732702993788,0.595286275006365,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,16200,0.5358604740650965,0.0574695292825161,0.4300372260651784,0.5904877877735999,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,16400,0.5072615072609914,0.045003891595622285,0.43718539739609696,0.5531889536074596,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,16600,0.5465082707657468,0.0560687387298051,0.45786320984872875,0.6206007956358371,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,16800,0.5182878842962114,0.0704857363642981,0.4297186967165908,0.6403880704427138,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,17000,0.5316079591615683,0.06111792467566125,0.4496566325362073,0.6206271621451015,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,17200,0.5416596250279326,0.031503372121851184,0.4992951258562971,0.5912809559065499,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,17400,0.5230858279572567,0.026152230491223064,0.49209098001243545,0.5665836495894473,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,17600,0.5137614344999747,0.06294116093839387,0.43232430834555996,0.5961894491699059,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,17800,0.5370220655647547,0.05630986295439513,0.42713918938301504,0.6090875541133574,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,18000,0.4958979906881238,0.07055683129159646,0.3580433662974974,0.5840777116734535,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,18200,0.4907252981577342,0.047831138077349754,0.397971440073452,0.5500317860601354,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,18400,0.48418912780558454,0.06074388730232012,0.39630362413357945,0.5690561131288996,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,18600,0.49401291459162167,0.06975071019547605,0.34137340167537333,0.5513262997537822,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,18800,0.47348734754045535,0.048186245516202354,0.39455469683278355,0.5191321975985193,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,19000,0.44747990010342625,0.08079264757042975,0.30921582572511397,0.5622139604733093,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,19200,0.514259802366699,0.09130686530754165,0.3792472136975266,0.6275229178520385,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,19400,0.4925586533468837,0.08438709286379392,0.338059759400785,0.5996159376599826,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,19600,0.4723674136856668,0.07788481463954368,0.3455266502100858,0.5916478826617823,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,19800,0.5090813941278854,0.0387556371609802,0.45106711315980647,0.5598239310039207,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,20000,0.4786395696685455,0.07632635487720062,0.33659795109182594,0.5623595957551152,6,"1000,1001,1002,1003,1004,1005",67800,200,True
even-palindrome,comparison_structure,loss,none,20200,0.4880468614759715,0.09398615809563611,0.33296751633402893,0.6254839558922686,6,"1000,1001,1002,1003,1004,1005",67800,200,True
